experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,simulation_source,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
88,3-crosslingual,airline,indonesian,id,id,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_124416_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,data/simulations/3-crosslingual/20260516_124416_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,,0.7733,0.6933,0.64,0.828,1.0,0.730094,0,0.303,609,741,,en_0.270,,0.0,0,150,id_1.000,id_0.730|en_0.270,
89,3-crosslingual,airline,thai,th,th,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260515_204407_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,data/simulations/3-crosslingual/20260515_204407_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,,0.7133,0.6,0.52,0.729,0.984536,0.723435,0.004,0.334,582,687,en_0.005|ca_0.003|es_0.003|it_0.003,en_0.277,3.0,0.0,6,150,th_0.985|en_0.005|ca_0.003|es_0.003|it_0.003,th_0.723|en_0.277,
90,3-crosslingual,airline,vietnamese,vi,vi,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260515_160029_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,data/simulations/3-crosslingual/20260515_160029_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,,0.7867,0.7267,0.7,0.89,0.978984,0.718447,0,0.314,571,721,it_0.009|pt_0.005|ca_0.004|ja_0.004,en_0.282,3.0,0.0,10,150,vi_0.979|it_0.009|pt_0.005|ca_0.004|ja_0.004,vi_0.718|en_0.282,
91,3-crosslingual,retail,chinese,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_052326_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,data/simulations/3-crosslingual/20260420_052326_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,,0.6754,0.5058,0.4123,0.61,0.946908,0.712397,0.041,0.317,1714,2194,en_0.041|de_0.005|ja_0.002|es_0.002|fr_0.001|wuu_0.001,en_0.286|ko_0.001|hu_0.000,18.5,0.0,70,342,zh_0.947|en_0.041|de_0.005|ja_0.002|es_0.002|fr_0.001|wuu_0.001,zh_0.712|en_0.286|ko_0.001|hu_0.000,
92,3-crosslingual,retail,filipino,tl,tl,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_063830_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,data/simulations/3-crosslingual/20260420_063830_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,,0.655,0.5175,0.4298,0.656,0.778247,0.802174,0.195,0.228,1894,2300,en_0.194|io_0.004|de_0.003|it_0.003|sh_0.002|uk_0.002|es_0.001|et_0.001|fr_0.001|ilo_0.001|ru_0.001|br_0.001|da_0.001|eo_0.001|hr_0.001|jv_0.001|lt_0.001|nl_0.001|no_0.001|oc_0.001|pl_0.001|ro_0.001|sco_0.001|sq_0.001|ta_0.001|tg_0.001|tr_0.001|vi_0.001,en_0.198,3,0.0,209,342,tl_0.778|en_0.194|io_0.004|de_0.003|it_0.003|sh_0.002|uk_0.002|es_0.001|et_0.001|fr_0.001|ilo_0.001|ru_0.001|br_0.001|da_0.001|eo_0.001|hr_0.001|jv_0.001|lt_0.001|nl_0.001|no_0.001|oc_0.001|pl_0.001|ro_0.001|sco_0.001|sq_0.001|ta_0.001|tg_0.001|tr_0.001|vi_0.001,tl_0.802|en_0.198,
93,3-crosslingual,retail,indonesian,id,id,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_040050_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,data/simulations/3-crosslingual/20260420_040050_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,,0.6842,0.5468,0.4561,0.667,0.932173,0.78148,0.04,0.245,1666,2041,en_0.050|ms_0.007|es_0.002|it_0.002|ru_0.002|eo_0.001|ar_0.001|br_0.001|ca_0.001|de_0.001|jv_0.001|sw_0.001,en_0.217|ms_0.001|jv_0.000,17.0,0.0,84,342,id_0.932|en_0.050|ms_0.007|es_0.002|it_0.002|ru_0.002|eo_0.001|ar_0.001|br_0.001|ca_0.001|de_0.001|jv_0.001|sw_0.001,id_0.781|en_0.217|ms_0.001|jv_0.000,
94,3-crosslingual,retail,thai,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_023353_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,data/simulations/3-crosslingual/20260420_023353_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai/results.json,,0.6988,0.538,0.4298,0.615,0.954128,0.807927,0.035,0.222,1635,1968,en_0.038|de_0.001|es_0.001|fr_0.001|ru_0.001|fa_0.001|it_0.001|ta_0.001|uk_0.001|zh_0.001,en_0.192,16,0.0,55,342,th_0.954|en_0.038|de_0.001|es_0.001|fr_0.001|ru_0.001|fa_0.001|it_0.001|ta_0.001|uk_0.001|zh_0.001,th_0.808|en_0.192,
95,3-crosslingual,retail,vietnamese,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_012220_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,data/simulations/3-crosslingual/20260420_012220_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,,0.6959,0.5702,0.5,0.718,0.942925,0.816169,0.042,0.21,1682,2078,en_0.044|es_0.004|de_0.002|it_0.002|ru_0.002|ca_0.001|et_0.001|no_0.001|pt_0.001|te_0.001|uk_0.001,en_0.184,15,0.0,75,342,vi_0.943|en_0.044|es_0.004|de_0.002|it_0.002|ru_0.002|ca_0.001|et_0.001|no_0.001|pt_0.001|te_0.001|uk_0.001,vi_0.816|en_0.184,
96,3-crosslingual,retail,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_044927_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,data/simulations/3-crosslingual/20260513_044927_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,,0.7222,0.5965,0.5263,0.729,0.982416,0.855338,0.009,0.165,1763,2454,en_0.009|de_0.003|fr_0.003|wuu_0.001|it_0.001,en_0.145,3.0,0.0,22,342,zh_0.982|en_0.009|de_0.003|fr_0.003|wuu_0.001|it_0.001,zh_0.855|en_0.145,
97,3-crosslingual,retail,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_051905_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,data/simulations/3-crosslingual/20260513_051905_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,,0.6754,0.5409,0.4737,0.701,0.747839,0.685443,0.193,0.325,1967,2734,en_0.209|de_0.007|io_0.007|pt_0.004|fr_0.004|lt_0.003|sh_0.003|es_0.003|la_0.002|it_0.002|hr_0.001|ro_0.001|ru_0.001|sco_0.001|br_0.001|cy_0.001|hu_0.001|id_0.001|ms_0.001|nl_0.001|qu_0.001|si_0.001|sq_0.001,en_0.314|sco_0.000,3.0,0.0,204,342,tl_0.748|en_0.209|de_0.007|io_0.007|pt_0.004|fr_0.004|lt_0.003|sh_0.003|es_0.003|la_0.002|it_0.002|hr_0.001|ro_0.001|ru_0.001|sco_0.001|br_0.001|cy_0.001|hu_0.001|id_0.001|ms_0.001|nl_0.001|qu_0.001|si_0.001|sq_0.001,tl_0.685|en_0.314|sco_0.000,
98,3-crosslingual,retail,indonesian,id,id,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_021823_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,data/simulations/3-crosslingual/20260513_021823_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,,0.6404,0.4825,0.386,0.603,0.972973,0.85993,0.012,0.16,1813,2563,en_0.014|ms_0.008|de_0.003|fr_0.001|it_0.001|ja_0.001,en_0.139|ja_0.001|ms_0.000,5.0,0.0,38,342,id_0.973|en_0.014|ms_0.008|de_0.003|fr_0.001|it_0.001|ja_0.001,id_0.860|en_0.139|ja_0.001|ms_0.000,
99,3-crosslingual,retail,thai,th,th,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_230553_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,data/simulations/3-crosslingual/20260512_230553_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,,0.5731,0.4298,0.3596,0.627,0.983439,0.848789,0.006,0.184,1570,2394,en_0.008|de_0.004|fr_0.003|ru_0.002,en_0.151,3.0,0.0,18,342,th_0.983|en_0.008|de_0.004|fr_0.003|ru_0.002,th_0.849|en_0.151,
100,3-crosslingual,retail,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_141138_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,data/simulations/3-crosslingual/20260512_141138_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,,0.6871,0.5497,0.4649,0.677,0.961982,0.869851,0.019,0.148,1736,2743,en_0.022|de_0.006|fr_0.005|no_0.002|ja_0.001|pt_0.001|ru_0.001,en_0.130,3,0.0,37,342,vi_0.962|en_0.022|de_0.006|fr_0.005|no_0.002|ja_0.001|pt_0.001|ru_0.001,vi_0.870|en_0.130,
101,3-crosslingual,retail,chinese,zh,zh,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_014748_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,data/simulations/3-crosslingual/20260509_014748_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,,0.5906,0.4415,0.3509,0.594,0.984579,0.810614,0.005,0.21,1686,1922,en_0.007|fr_0.004|de_0.004|als_0.001|wuu_0.001,en_0.189,3.0,0.0,16,342,zh_0.985|en_0.007|fr_0.004|de_0.004|als_0.001|wuu_0.001,zh_0.811|en_0.189,
102,3-crosslingual,retail,filipino,tl,tl,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_155537_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,data/simulations/3-crosslingual/20260509_155537_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,,0.5731,0.4444,0.386,0.674,0.772326,0.748754,0.173,0.271,1814,2006,en_0.188|de_0.006|io_0.006|es_0.003|hu_0.003|id_0.003|lt_0.002|eo_0.002|it_0.002|la_0.002|pt_0.002|fr_0.001|nl_0.001|ro_0.001|sh_0.001|ar_0.001|br_0.001|bs_0.001|ca_0.001|gl_0.001|hr_0.001|ilo_0.001|pl_0.001|ru_0.001|war_0.001,en_0.251,3.0,0.0,182,342,tl_0.772|en_0.188|de_0.006|io_0.006|es_0.003|hu_0.003|id_0.003|lt_0.002|eo_0.002|it_0.002|la_0.002|pt_0.002|fr_0.001|nl_0.001|ro_0.001|sh_0.001|ar_0.001|br_0.001|bs_0.001|ca_0.001|gl_0.001|hr_0.001|ilo_0.001|pl_0.001|ru_0.001|war_0.001,tl_0.749|en_0.251,
103,3-crosslingual,retail,indonesian,id,id,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_093704_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,data/simulations/3-crosslingual/20260509_093704_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,,0.6082,0.462,0.386,0.635,0.970896,0.816104,0.014,0.206,1718,1925,en_0.016|ms_0.006|de_0.005|fr_0.001|ja_0.001|nl_0.001|ru_0.001,en_0.182|ms_0.002,3,0.0,39,342,id_0.971|en_0.016|ms_0.006|de_0.005|fr_0.001|ja_0.001|nl_0.001|ru_0.001,id_0.816|en_0.182|ms_0.002,
104,3-crosslingual,retail,thai,th,th,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_194059_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,data/simulations/3-crosslingual/20260508_194059_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,,0.5263,0.383,0.3246,0.617,0.991895,0.794334,0.003,0.244,1604,1765,de_0.004|en_0.004|fr_0.001,en_0.206,3.0,0.0,12,342,th_0.992|de_0.004|en_0.004|fr_0.001,th_0.794|en_0.206,
105,3-crosslingual,retail,vietnamese,vi,vi,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_001135_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,data/simulations/3-crosslingual/20260508_001135_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,,0.5556,0.4181,0.3333,0.6,0.978514,0.809499,0.011,0.214,1629,1916,en_0.012|de_0.005|ca_0.002|fr_0.002|ht_0.001,en_0.191,3.0,0.0,24,342,vi_0.979|en_0.012|de_0.005|ca_0.002|fr_0.002|ht_0.001,vi_0.809|en_0.191,
106,3-crosslingual,retail,chinese,zh,zh,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_075443_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,data/simulations/3-crosslingual/20260516_075443_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese/results.json,,0.6988,0.5643,0.4825,0.69,0.982536,0.804573,0.005,0.213,1546,1837,en_0.006|fr_0.005|de_0.004|ja_0.001|wuu_0.001,en_0.195,3.0,0.0,18,342,zh_0.983|en_0.006|fr_0.005|de_0.004|ja_0.001|wuu_0.001,zh_0.805|en_0.195,
107,3-crosslingual,retail,filipino,tl,tl,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_150429_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,data/simulations/3-crosslingual/20260516_150429_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino/results.json,,0.6813,0.5526,0.4649,0.682,0.744395,0.483936,0.217,0.551,1784,1992,en_0.219|de_0.008|fr_0.005|io_0.004|es_0.003|id_0.003|it_0.002|ru_0.002|sh_0.002|uk_0.002|br_0.001|jv_0.001|eo_0.001|ja_0.001|lt_0.001|ro_0.001|tg_0.001|vi_0.001,en_0.516,3,0.0,203,342,tl_0.744|en_0.219|de_0.008|fr_0.005|io_0.004|es_0.003|id_0.003|it_0.002|ru_0.002|sh_0.002|uk_0.002|br_0.001|jv_0.001|eo_0.001|ja_0.001|lt_0.001|ro_0.001|tg_0.001|vi_0.001,en_0.516|tl_0.484,
108,3-crosslingual,retail,indonesian,id,id,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_043356_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian,data/simulations/3-crosslingual/20260516_043356_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian/results.json,,0.7135,0.5994,0.5263,0.738,0.962321,0.816967,0.017,0.211,1672,1945,en_0.019|de_0.005|fr_0.005|ms_0.005|ja_0.002|it_0.001|nl_0.001|ru_0.001|sv_0.001,en_0.183,3.0,0.0,44,342,id_0.962|en_0.019|de_0.005|fr_0.005|ms_0.005|ja_0.002|it_0.001|nl_0.001|ru_0.001|sv_0.001,id_0.817|en_0.183,
110,3-crosslingual,retail,vietnamese,vi,vi,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_185604_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,data/simulations/3-crosslingual/20260516_185604_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,,0.7222,0.5965,0.5175,0.717,0.954105,0.8098,0.028,0.213,1547,1898,en_0.027|de_0.010|fr_0.006|ja_0.001|ru_0.001|sv_0.001,en_0.190,3.0,0.0,54,342,vi_0.954|en_0.027|de_0.010|fr_0.006|ja_0.001|ru_0.001|sv_0.001,vi_0.810|en_0.190,
111,3-crosslingual,telecom,chinese,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260429_025830_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,data/simulations/3-crosslingual/20260429_025830_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,,0.7281,0.6082,0.5175,0.711,0.995812,0.799342,0.001,0.242,2388,2432,en_0.002|ja_0.001|be_0.000|fr_0.000|la_0.000,en_0.201,45,0.0,9,342,zh_0.996|en_0.002|ja_0.001|be_0.000|fr_0.000|la_0.000,zh_0.799|en_0.201,
112,3-crosslingual,telecom,filipino,tl,tl,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260429_054648_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,data/simulations/3-crosslingual/20260429_054648_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,,0.7398,0.617,0.5351,0.723,0.967037,0.822302,0.016,0.217,2791,2780,en_0.021|la_0.001|es_0.001|it_0.001|id_0.001|ilo_0.001|io_0.001|ms_0.001|ro_0.001|ceb_0.000|de_0.000|fr_0.000|ja_0.000|ko_0.000|lt_0.000|pl_0.000|pt_0.000|qu_0.000|ru_0.000|sv_0.000|tr_0.000,en_0.177|ja_0.000,26.0,0.0,58,342,tl_0.967|en_0.021|la_0.001|es_0.001|it_0.001|id_0.001|ilo_0.001|io_0.001|ms_0.001|ro_0.001|ceb_0.000|de_0.000|fr_0.000|ja_0.000|ko_0.000|lt_0.000|pl_0.000|pt_0.000|qu_0.000|ru_0.000|sv_0.000|tr_0.000,tl_0.822|en_0.177|ja_0.000,
113,3-crosslingual,telecom,indonesian,id,id,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260428_231442_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,data/simulations/3-crosslingual/20260428_231442_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,,0.5819,0.4532,0.4035,0.693,0.986043,0.850473,0.004,0.194,4299,3491,ms_0.007|en_0.005|bn_0.000|it_0.000|fi_0.000|ja_0.000|sr_0.000|sw_0.000|tl_0.000|tr_0.000,en_0.149|ms_0.001,34.0,0.0,44,342,id_0.986|ms_0.007|en_0.005|bn_0.000|it_0.000|fi_0.000|ja_0.000|sr_0.000|sw_0.000|tl_0.000|tr_0.000,id_0.850|en_0.149|ms_0.001,
114,3-crosslingual,telecom,thai,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260421_211414_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,data/simulations/3-crosslingual/20260421_211414_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai/results.json,,0.6053,0.4357,0.3421,0.565,0.997853,0.828591,0,0.215,3260,2917,ko_0.001|en_0.001|la_0.000,en_0.171,57,0.0,5,342,th_0.998|ko_0.001|en_0.001|la_0.000,th_0.829|en_0.171,
115,3-crosslingual,telecom,vietnamese,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260421_110831_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,data/simulations/3-crosslingual/20260421_110831_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,,0.5614,0.4298,0.3684,0.656,0.994677,0.85353,0,0.189,4321,3598,ja_0.002|zh_0.001|en_0.001|ko_0.000|la_0.000|fa_0.000|id_0.000|sv_0.000,en_0.146,26.0,0.0,6,342,vi_0.995|ja_0.002|zh_0.001|en_0.001|ko_0.000|la_0.000|fa_0.000|id_0.000|sv_0.000,vi_0.854|en_0.146,
116,3-crosslingual,telecom,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_172533_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,data/simulations/3-crosslingual/20260513_172533_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,,0.9298,0.8684,0.8158,0.877,1.0,0.878809,0,0.136,2258,2921,,en_0.121|ja_0.000,,0.0,0,342,zh_1.000,zh_0.879|en_0.121|ja_0.000,
117,3-crosslingual,telecom,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260516_115946_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,data/simulations/3-crosslingual/20260516_115946_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,,0.883,0.7836,0.7018,0.795,0.995596,0.896298,0.003,0.123,3179,4079,en_0.004|io_0.000|ro_0.000,en_0.104,30.5,0.0,14,342,tl_0.996|en_0.004|io_0.000|ro_0.000,tl_0.896|en_0.104,
119,3-crosslingual,telecom,thai,th,th,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_111037_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,data/simulations/3-crosslingual/20260513_111037_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,,0.8538,0.7632,0.7018,0.822,1.0,0.875183,0,0.145,2636,3413,,en_0.125,,0.0,0,342,th_1.000,th_0.875|en_0.125,
120,3-crosslingual,telecom,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_073043_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,data/simulations/3-crosslingual/20260513_073043_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,,0.9123,0.8363,0.7719,0.846,1.0,0.910359,0,0.103,3287,4016,,en_0.090,,0.0,0,342,vi_1.000,vi_0.910|en_0.090,
121,3-crosslingual,telecom,chinese,zh,zh,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260510_103627_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,data/simulations/3-crosslingual/20260510_103627_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,,0.2281,0.1316,0.0965,0.423,1.0,0.74065,0,0.326,1472,1631,,en_0.259,,0.0,0,342,zh_1.000,zh_0.741|en_0.259,
122,3-crosslingual,telecom,filipino,tl,tl,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260510_145153_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,data/simulations/3-crosslingual/20260510_145153_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,,0.155,0.0877,0.0614,0.396,0.990099,0.73179,0.004,0.325,1616,1771,en_0.006|hr_0.002|br_0.001|fr_0.001,en_0.268,3.0,0.0,8,342,tl_0.990|en_0.006|hr_0.002|br_0.001|fr_0.001,tl_0.732|en_0.268,
