experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
84,l2_interaction,retail,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_141138_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.687,0.55,0.465,0.677,0.961982,0.993753,0.967,0.852,1736,2401,en_0.022|de_0.006|fr_0.005|no_0.002|ja_0.001|pt_0.001|ru_0.001,en_0.006,3.0,18.0,37,15,vi_0.962|en_0.022|de_0.006|fr_0.005|no_0.002|ja_0.001|pt_0.001|ru_0.001,vi_0.994|en_0.006,
85,l2_interaction,retail,vietnamese,vi,vi,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260508_001135_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.556,0.418,0.333,0.599,0.978514,0.985388,0.98,0.786,1629,1574,en_0.012|de_0.005|ca_0.002|fr_0.002|ht_0.001,en_0.015,3.0,18.0,24,23,vi_0.979|en_0.012|de_0.005|ca_0.002|fr_0.002|ht_0.001,vi_0.985|en_0.015,
86,l2_interaction,telecom,chinese,zh,zh,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260429_025830_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.728,0.608,0.518,0.712,0.995812,0.930144,0.997,0.758,2388,2090,en_0.002|ja_0.001|be_0.000|fr_0.000|la_0.000,en_0.070,45.0,54.0,9,146,zh_0.996|en_0.002|ja_0.001|be_0.000|fr_0.000|la_0.000,zh_0.930|en_0.070,
87,l2_interaction,telecom,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_172533_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.93,0.868,0.816,0.877,1.0,0.995347,1.0,0.864,2258,2579,,en_0.004|ja_0.000,,52.0,0,12,zh_1.000,zh_0.995|en_0.004|ja_0.000,
88,l2_interaction,telecom,chinese,zh,zh,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260510_103627_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.228,0.132,0.096,0.421,1.0,0.937161,1.0,0.674,1472,1289,,en_0.063,,56.0,0,81,zh_1.000,zh_0.937|en_0.063,
89,l2_interaction,telecom,filipino,tl,tl,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260429_054648_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.74,0.617,0.535,0.723,0.967037,0.937654,0.975,0.783,2791,2438,en_0.021|la_0.001|es_0.001|it_0.001|id_0.001|ilo_0.001|io_0.001|ms_0.001|ro_0.001|ceb_0.000|de_0.000|fr_0.000|ja_0.000|ko_0.000|lt_0.000|pl_0.000|pt_0.000|qu_0.000|ru_0.000|sv_0.000|tr_0.000,en_0.062|ja_0.000,26.0,54.0,58,150,tl_0.967|en_0.021|la_0.001|es_0.001|it_0.001|id_0.001|ilo_0.001|io_0.001|ms_0.001|ro_0.001|ceb_0.000|de_0.000|fr_0.000|ja_0.000|ko_0.000|lt_0.000|pl_0.000|pt_0.000|qu_0.000|ru_0.000|sv_0.000|tr_0.000,tl_0.938|en_0.062|ja_0.000,
90,l2_interaction,telecom,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260516_115946_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.883,0.784,0.702,0.795,0.995596,0.978325,0.996,0.877,3179,3737,en_0.004|io_0.000|ro_0.000,en_0.022,30.5,32.0,14,81,tl_0.996|en_0.004|io_0.000|ro_0.000,tl_0.978|en_0.022,
91,l2_interaction,telecom,filipino,tl,tl,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260510_145153_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.155,0.088,0.061,0.394,0.990099,0.906928,0.994,0.675,1616,1429,en_0.006|hr_0.002|br_0.001|fr_0.001,en_0.093,3.0,56.0,8,127,tl_0.990|en_0.006|hr_0.002|br_0.001|fr_0.001,tl_0.907|en_0.093,
92,l2_interaction,telecom,indonesian,id,id,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260428_231442_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.582,0.453,0.404,0.694,0.985762,0.942202,0.987,0.805,4214,3097,ms_0.007|en_0.005|bn_0.000|it_0.000|fi_0.000|ja_0.000|sr_0.000|sw_0.000|tl_0.000|tr_0.000,en_0.057|ms_0.001,34.0,48.0,44,178,id_0.986|ms_0.007|en_0.005|bn_0.000|it_0.000|fi_0.000|ja_0.000|sr_0.000|sw_0.000|tl_0.000|tr_0.000,id_0.942|en_0.057|ms_0.001,
93,l2_interaction,telecom,indonesian,id,id,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_141803_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.915,0.839,0.772,0.844,0.995435,0.994462,0.996,0.888,3286,3431,ms_0.005,ja_0.003|en_0.002|ms_0.001,17.0,26.0,15,19,id_0.995|ms_0.005,id_0.994|ja_0.003|en_0.002|ms_0.001,
94,l2_interaction,telecom,indonesian,id,id,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260510_004116_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.333,0.17,0.105,0.315,0.994448,0.950875,0.995,0.816,3242,2972,ms_0.006,en_0.040|zh_0.006|es_0.003|ja_0.000,23.0,58.0,15,144,id_0.994|ms_0.006,id_0.951|en_0.040|zh_0.006|es_0.003|ja_0.000,
95,l2_interaction,telecom,thai,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260421_211414_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.605,0.436,0.342,0.565,0.997853,0.938641,0.998,0.785,3260,2575,ko_0.001|en_0.001|la_0.000,en_0.061,57.0,54.0,5,158,th_0.998|ko_0.001|en_0.001|la_0.000,th_0.939|en_0.061,
96,l2_interaction,telecom,thai,th,th,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_111037_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.854,0.763,0.702,0.822,1.0,0.972647,1.0,0.855,2636,3071,,en_0.027,,31.0,0,84,th_1.000,th_0.973|en_0.027,
97,l2_interaction,telecom,thai,th,th,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_204837_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.222,0.108,0.061,0.275,1.0,0.904184,1.0,0.705,1903,1649,,en_0.096,,48.0,0,153,th_1.000,th_0.904|en_0.096,
98,l2_interaction,telecom,vietnamese,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260421_110831_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.561,0.43,0.368,0.656,0.994667,0.943059,0.998,0.811,4313,3249,ja_0.002|zh_0.001|en_0.001|ko_0.000|la_0.000|fa_0.000|id_0.000|sv_0.000,en_0.057,26.0,58.0,6,185,vi_0.995|ja_0.002|zh_0.001|en_0.001|ko_0.000|la_0.000|fa_0.000|id_0.000|sv_0.000,vi_0.943|en_0.057,
99,l2_interaction,telecom,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_073043_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.912,0.836,0.772,0.846,1.0,0.995101,1.0,0.897,3287,3674,,en_0.005,,36.5,0,18,vi_1.000,vi_0.995|en_0.005,
100,l2_interaction,telecom,vietnamese,vi,vi,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_173928_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.26,0.129,0.061,0.235,1.0,0.928478,1.0,0.773,2446,2293,,en_0.072,,52.0,0,157,vi_1.000,vi_0.928|en_0.072,
101,l2_tools,airline,chinese,zh,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""mixed_tools""]",0.687,0.593,0.52,0.757,0.998141,1.0,0.998,1.0,538,697,fr_0.002,,7.0,,1,0,en_0.998|fr_0.002,en_1.000,
102,l2_tools,airline,chinese,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""mixed_tools""]",0.48,0.313,0.2,0.417,0.995562,1.0,0.995,1.0,676,826,it_0.004,,3.0,,3,0,en_0.996|it_0.004,en_1.000,
103,l2_tools,airline,filipino,tl,en,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""mixed_tools""]",0.667,0.58,0.54,0.81,0.998069,1.0,0.997,1.0,518,675,fr_0.002,,5.0,,1,0,en_0.998|fr_0.002,en_1.000,
104,l2_tools,airline,filipino,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""mixed_tools""]",0.467,0.32,0.24,0.514,0.995658,1.0,0.996,1.0,691,833,it_0.004,,3.0,,3,0,en_0.996|it_0.004,en_1.000,
105,l2_tools,airline,indonesian,id,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""mixed_tools""]",0.687,0.567,0.48,0.699,0.998102,1.0,0.998,1.0,527,678,it_0.002,,3.0,,1,0,en_0.998|it_0.002,en_1.000,
106,l2_tools,airline,indonesian,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""mixed_tools""]",0.4,0.233,0.18,0.45,0.998487,1.0,0.999,1.0,661,803,it_0.002,,3.0,,1,0,en_0.998|it_0.002,en_1.000,
107,l2_tools,airline,thai,th,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""mixed_tools""]",0.62,0.473,0.4,0.645,0.99053,1.0,0.993,1.0,528,684,ru_0.004|fi_0.002|fr_0.002|pt_0.002,,11.0,,5,0,en_0.991|ru_0.004|fi_0.002|fr_0.002|pt_0.002,en_1.000,
108,l2_tools,airline,thai,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""mixed_tools""]",0.38,0.253,0.22,0.579,0.992722,1.0,0.995,1.0,687,856,fr_0.004|it_0.003,,3.0,,3,0,en_0.993|fr_0.004|it_0.003,en_1.000,
109,l2_tools,airline,tool_mix_2,tool_mix_2,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.68,0.56,0.48,0.706,0.998,0.998496,0.998,1.0,500,665,ja_0.002,el_0.002,9.0,43.0,1,1,en_0.998|ja_0.002,en_0.998|el_0.002,
110,l2_tools,airline,tool_mix_2,tool_mix_2,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.44,0.28,0.2,0.455,0.995427,1.0,0.996,1.0,656,779,it_0.005,,3.0,,3,0,en_0.995|it_0.005,en_1.000,
111,l2_tools,airline,tool_mix_3,tool_mix_3,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.66,0.56,0.48,0.727,0.996248,1.0,0.997,1.0,533,699,ar_0.002|zh_0.002,,12.0,,2,0,en_0.996|ar_0.002|zh_0.002,en_1.000,
112,l2_tools,airline,tool_mix_3,tool_mix_3,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.413,0.267,0.2,0.484,0.995671,1.0,0.995,1.0,693,838,it_0.004,,3.0,,3,0,en_0.996|it_0.004,en_1.000,
113,l2_tools,airline,tool_mix_4,tool_mix_4,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.64,0.52,0.48,0.75,0.996337,1.0,0.995,1.0,546,714,ca_0.002|ja_0.002,,10.0,,2,0,en_0.996|ca_0.002|ja_0.002,en_1.000,
114,l2_tools,airline,tool_mix_4,tool_mix_4,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.413,0.287,0.24,0.581,0.998516,1.0,0.998,1.0,674,795,it_0.001,,3.0,,1,0,en_0.999|it_0.001,en_1.000,
115,l2_tools,airline,tool_mix_5,tool_mix_5,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.64,0.513,0.44,0.688,0.994106,1.0,0.996,1.0,509,666,uk_0.004|it_0.002,,16.5,,2,0,en_0.994|uk_0.004|it_0.002,en_1.000,
116,l2_tools,airline,tool_mix_5,tool_mix_5,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.413,0.267,0.22,0.533,0.995708,1.0,0.996,1.0,699,821,it_0.004,,3.0,,3,0,en_0.996|it_0.004,en_1.000,
117,l2_tools,airline,vietnamese,vi,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""mixed_tools""]",0.653,0.527,0.46,0.704,0.990826,1.0,0.994,1.0,545,697,fa_0.002|gu_0.002|it_0.002|kn_0.002|pt_0.002,,11.0,,5,0,en_0.991|fa_0.002|gu_0.002|it_0.002|kn_0.002|pt_0.002,en_1.000,
118,l2_tools,airline,vietnamese,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""mixed_tools""]",0.447,0.313,0.26,0.582,0.99701,1.0,0.998,1.0,669,790,it_0.003,,3.0,,2,0,en_0.997|it_0.003,en_1.000,
119,l2_tools,retail,chinese,zh,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""mixed_tools""]",0.719,0.579,0.482,0.67,0.995804,1.0,0.996,1.0,1430,1704,de_0.001|ja_0.001|nl_0.001|ru_0.001|sv_0.001,,5.0,,6,0,en_0.996|de_0.001|ja_0.001|nl_0.001|ru_0.001|sv_0.001,en_1.000,
120,l2_tools,retail,chinese,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""mixed_tools""]",0.594,0.433,0.36,0.606,0.988116,1.0,0.988,1.0,1683,1907,fr_0.005|de_0.004|uk_0.002|id_0.001,,5.0,,20,0,en_0.988|fr_0.005|de_0.004|uk_0.002|id_0.001,en_1.000,
121,l2_tools,retail,filipino,tl,en,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""mixed_tools""]",0.661,0.515,0.439,0.664,0.996585,1.0,0.996,1.0,1464,1730,de_0.003|it_0.001,,15.0,,5,0,en_0.997|de_0.003|it_0.001,en_1.000,
122,l2_tools,retail,filipino,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""mixed_tools""]",0.57,0.421,0.342,0.6,0.98685,1.0,0.989,1.0,1673,1924,fr_0.005|de_0.004|id_0.001|sv_0.001|it_0.001|ru_0.001|uk_0.001,,4.0,,22,0,en_0.987|fr_0.005|de_0.004|id_0.001|sv_0.001|it_0.001|ru_0.001|uk_0.001,en_1.000,
123,l2_tools,retail,indonesian,id,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""mixed_tools""]",0.675,0.526,0.43,0.637,0.995042,1.0,0.996,1.0,1412,1735,fr_0.002|hi_0.001|ru_0.001|sv_0.001|ta_0.001,,15.0,,7,0,en_0.995|fr_0.002|hi_0.001|ru_0.001|sv_0.001|ta_0.001,en_1.000,
124,l2_tools,retail,indonesian,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""mixed_tools""]",0.55,0.418,0.351,0.638,0.988751,1.0,0.991,1.0,1689,1911,fr_0.005|de_0.004|id_0.002|ro_0.001,,5.0,,19,0,en_0.989|fr_0.005|de_0.004|id_0.002|ro_0.001,en_1.000,
125,l2_tools,retail,thai,th,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""mixed_tools""]",0.646,0.477,0.377,0.584,0.994406,1.0,0.997,1.0,1430,1740,fr_0.002|es_0.001|bg_0.001|la_0.001|ru_0.001,,7.0,,8,0,en_0.994|fr_0.002|es_0.001|bg_0.001|la_0.001|ru_0.001,en_1.000,
126,l2_tools,retail,thai,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""mixed_tools""]",0.561,0.421,0.351,0.626,0.988159,1.0,0.99,1.0,1689,1905,fr_0.005|de_0.003|id_0.001|it_0.001|pl_0.001|ru_0.001|uk_0.001,,6.0,,20,0,en_0.988|fr_0.005|de_0.003|id_0.001|it_0.001|pl_0.001|ru_0.001|uk_0.001,en_1.000,
127,l2_tools,retail,tool_mix_2,tool_mix_2,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.667,0.541,0.465,0.697,0.993772,1.0,0.995,1.0,1445,1751,ru_0.001|es_0.001|fr_0.001|id_0.001|ja_0.001|te_0.001|tr_0.001|uk_0.001,,7.0,,7,0,en_0.994|ru_0.001|es_0.001|fr_0.001|id_0.001|ja_0.001|te_0.001|tr_0.001|uk_0.001,en_1.000,
128,l2_tools,retail,tool_mix_2,tool_mix_2,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.596,0.456,0.386,0.648,0.988045,1.0,0.99,1.0,1673,1879,fr_0.005|de_0.004|id_0.002|it_0.001|nl_0.001|sv_0.001,,5.0,,20,0,en_0.988|fr_0.005|de_0.004|id_0.002|it_0.001|nl_0.001|sv_0.001,en_1.000,
129,l2_tools,retail,tool_mix_3,tool_mix_3,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.667,0.538,0.456,0.684,0.994483,1.0,0.995,1.0,1450,1746,uk_0.002|de_0.001|ru_0.001|ja_0.001,,17.0,,7,0,en_0.994|uk_0.002|de_0.001|ru_0.001|ja_0.001,en_1.000,
130,l2_tools,retail,tool_mix_3,tool_mix_3,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.535,0.398,0.325,0.607,0.988643,1.0,0.989,1.0,1761,1972,fr_0.005|de_0.003|id_0.001|ja_0.001|pl_0.001|ru_0.001|uk_0.001,,5.0,,20,0,en_0.989|fr_0.005|de_0.003|id_0.001|ja_0.001|pl_0.001|ru_0.001|uk_0.001,en_1.000,
131,l2_tools,retail,tool_mix_4,tool_mix_4,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.652,0.485,0.386,0.592,0.997351,1.0,0.997,1.0,1510,1812,de_0.001|fa_0.001|fr_0.001|uk_0.001,,10.0,,4,0,en_0.997|de_0.001|fa_0.001|fr_0.001|uk_0.001,en_1.000,
132,l2_tools,retail,tool_mix_4,tool_mix_4,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.585,0.447,0.377,0.644,0.986246,1.0,0.988,1.0,1745,1975,fr_0.005|de_0.003|ru_0.002|uk_0.001|id_0.001|it_0.001|pl_0.001|sv_0.001,,3.0,,23,0,en_0.986|fr_0.005|de_0.003|ru_0.002|uk_0.001|id_0.001|it_0.001|pl_0.001|sv_0.001,en_1.000,
133,l2_tools,retail,tool_mix_5,tool_mix_5,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.696,0.547,0.447,0.642,0.995333,1.0,0.996,1.0,1500,1790,fr_0.002|id_0.001|it_0.001|ja_0.001|ru_0.001,,7.0,,7,0,en_0.995|fr_0.002|id_0.001|it_0.001|ja_0.001|ru_0.001,en_1.000,
134,l2_tools,retail,tool_mix_5,tool_mix_5,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.57,0.401,0.298,0.523,0.987407,1.0,0.99,1.0,1747,1946,fr_0.005|de_0.004|id_0.002|ca_0.001|es_0.001|ru_0.001,,5.0,,22,0,en_0.987|fr_0.005|de_0.004|id_0.002|ca_0.001|es_0.001|ru_0.001,en_1.000,
