scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
4-translated,telecom,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-17-20-19_translated_telecom_trial-3_zh_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.348,0.231,0.175,0.503,,0.62,0.154,0.996,0.66,342,114
4-translated,telecom,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-13-36-40_translated_telecom_trial-3_tl_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.33,0.205,0.149,0.452,,0.654,0.113,0.996,0.723,342,114
4-translated,telecom,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-05-17-06_translated_telecom_trial-3_id_Qwen3-235B-A22B-Instruct-2507_local_agent_localhost_user,0.427,0.295,0.211,0.494,,0.733,0.202,0.995,0.99,342,114
4-translated,telecom,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-11-47-07_translated_telecom_trial-3_th_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.284,0.143,0.079,0.278,,0.595,0.151,0.998,0.864,342,114
4-translated,telecom,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-15-19-46_translated_telecom_trial-3_vi_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.383,0.213,0.149,0.389,,0.716,0.155,0.999,0.894,342,114
4-translated,telecom,thai,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-telecom-th-openrouter-kimi-k2.5_default-user,0.693,0.523,0.43,0.620,,0.863,0.213,0.999,1,342,114
4-translated,telecom,filipino,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-19-45-09_telecom_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.743,0.582,0.474,0.638,,0.931,0.264,0.999,0.98,342,114
4-translated,telecom,indonesian,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-22-00-38_telecom_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.798,0.681,0.588,0.737,,0.91,0.234,0.996,0.993,342,114
4-translated,telecom,chinese,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-02-05-17_translated_telecom_trial-3_zh_gmi-kimi-k2.5_default-user,0.863,0.763,0.684,0.793,,98.5,0.234,0.999,1,342,114
4-translated,telecom,vietnamese,azure/kimi-k2.5,kimi-k2.5,,0.699,0.529,0.404,0.578,,0.861,0.233,,,342,114
